,source_target,source,sourceID,target,targetID,movies,moviesID,connections_y
162,Abdul Majid Soven Lahiri,Abdul Majid,nm5580441,Soven Lahiri,nm0481574,The Adversary,tt0066237,1
163,Abdul Majid Tapan Roy,Abdul Majid,nm5580441,Tapan Roy,nm4939793,The Adversary,tt0066237,1
164,Abhijit Chatterjee Abhijit Chatterjee,Abhijit Chatterjee,nm0154107,Abhijit Chatterjee,nm0154107,Heerak Rajar Deshe,tt0080856,1
165,Abhijit Chatterjee Abhijit Chatterjee,Abhijit Chatterjee,nm0154107,Abhijit Chatterjee,nm0154107,The World of Apu,tt0052572,1
166,Abhijit Chatterjee Alok Chakravarty,Abhijit Chatterjee,nm0154107,Alok Chakravarty,nm0149845,The World of Apu,tt0052572,1
167,Abhijit Chatterjee Alpana Gupta,Abhijit Chatterjee,nm0154107,Alpana Gupta,nm4522883,Heerak Rajar Deshe,tt0080856,1
168,Abhijit Chatterjee Anindya Basu,Abhijit Chatterjee,nm0154107,Anindya Basu,nm5588741,Heerak Rajar Deshe,tt0080856,1
169,Abhijit Chatterjee Anindya Ganguly,Abhijit Chatterjee,nm0154107,Anindya Ganguly,nm5588754,Heerak Rajar Deshe,tt0080856,1
170,Abhijit Chatterjee Anup Mukherjee,Abhijit Chatterjee,nm0154107,Anup Mukherjee,nm5588606,Heerak Rajar Deshe,tt0080856,1
171,Abhijit Chatterjee Arup Mukherjee,Abhijit Chatterjee,nm0154107,Arup Mukherjee,nm5588684,Heerak Rajar Deshe,tt0080856,1
172,Abhijit Chatterjee Asha Devi,Abhijit Chatterjee,nm0154107,Asha Devi,nm0222439,The World of Apu,tt0052572,1
173,Abhijit Chatterjee Ashok Kumar Dey,Abhijit Chatterjee,nm0154107,Ashok Kumar Dey,nm5588643,Heerak Rajar Deshe,tt0080856,1
174,Abhijit Chatterjee Bechu Singha,Abhijit Chatterjee,nm0154107,Bechu Singha,nm0802261,The World of Apu,tt0052572,1
175,Abhijit Chatterjee Bikramjit Das,Abhijit Chatterjee,nm0154107,Bikramjit Das,nm5588798,Heerak Rajar Deshe,tt0080856,1
176,Abhijit Chatterjee Bimal Banerjee,Abhijit Chatterjee,nm0154107,Bimal Banerjee,nm4654435,Heerak Rajar Deshe,tt0080856,1
177,Abhijit Chatterjee Bimal Chatterjee,Abhijit Chatterjee,nm0154107,Bimal Chatterjee,nm0154115,Heerak Rajar Deshe,tt0080856,1
178,Abhijit Chatterjee Bimal Deb,Abhijit Chatterjee,nm0154107,Bimal Deb,nm1045149,Heerak Rajar Deshe,tt0080856,1
179,Abhijit Chatterjee Biren Ghosh,Abhijit Chatterjee,nm0154107,Biren Ghosh,nm5576537,The World of Apu,tt0052572,1
180,Abhijit Chatterjee Biresh Majumdar,Abhijit Chatterjee,nm0154107,Biresh Majumdar,nm5576520,The World of Apu,tt0052572,1
181,Abhijit Chatterjee Daya Banerjee,Abhijit Chatterjee,nm0154107,Daya Banerjee,nm5588621,Heerak Rajar Deshe,tt0080856,1
182,Abhijit Chatterjee Dhiren Ghosh,Abhijit Chatterjee,nm0154107,Dhiren Ghosh,nm0315888,The World of Apu,tt0052572,1
183,Abhijit Chatterjee Dhiresh Majumdar,Abhijit Chatterjee,nm0154107,Dhiresh Majumdar,nm0538291,The World of Apu,tt0052572,1
184,Abhijit Chatterjee Gopal Dey,Abhijit Chatterjee,nm0154107,Gopal Dey,nm0223342,Heerak Rajar Deshe,tt0080856,1
185,Abhijit Chatterjee Govinda Chakravarti,Abhijit Chatterjee,nm0154107,Govinda Chakravarti,nm0149838,Heerak Rajar Deshe,tt0080856,1
186,Abhijit Chatterjee Gupi Banerjee,Abhijit Chatterjee,nm0154107,Gupi Banerjee,nm4897797,The World of Apu,tt0052572,1
187,Abhijit Chatterjee Haridhan Mukherjee,Abhijit Chatterjee,nm0154107,Haridhan Mukherjee,nm0154128,Heerak Rajar Deshe,tt0080856,1
188,Abhijit Chatterjee Jiten Bhons,Abhijit Chatterjee,nm0154107,Jiten Bhons,nm5576471,The World of Apu,tt0052572,1
189,Abhijit Chatterjee Jogesh Chatterjee,Abhijit Chatterjee,nm0154107,Jogesh Chatterjee,nm0154132,The World of Apu,tt0052572,1
190,Abhijit Chatterjee Kamu Mukherjee,Abhijit Chatterjee,nm0154107,Kamu Mukherjee,nm0611536,Heerak Rajar Deshe,tt0080856,1
191,Abhijit Chatterjee Kartik Chatterjee,Abhijit Chatterjee,nm0154107,Kartik Chatterjee,nm0154135,Heerak Rajar Deshe,tt0080856,1
