,film,year,filmID,actor,role,personID,repeat
32,An Enemy of the People,1989,tt0097409,Kumar Saha,,nm5591423,1
23,Heerak Rajar Deshe,1980,tt0080856,Kumardeb Dutta,,nm5588641,1
4,The Golden Fortress,1974,tt0072190,Kushal Chakraborty,Mukul Dhar,nm0149842,1
1,Aparajito,1956,tt0048956,Lalchand Banerjee,Lahiri,nm0051837,1
9,Nayak: The Hero,1966,tt0060742,Lali Chowdhury,Bulbul,nm0159539,1
9,The Chess Players,1977,tt0076696,Leela Mishra,"Hirya, Khurshid's maid",nm0592789,1
19,The Middleman,1975,tt0074710,Lily Chakravarty,Kamala,nm0149846,2
5,Branches of the Tree,1990,tt0100587,Lily Chakravarty,Uma,nm0149846,2
48,The Middleman,1975,tt0074710,M.N. Poddar,,nm5587026,1
21,The Chess Players,1977,tt0076696,Madan Sudan,,nm1840234,1
1,The Big City,1963,tt0057277,Madhabi Mukherjee,Arati Mazumder,nm0611538,3
1,Charulata,1964,tt0057935,Madhabi Mukherjee,Charulata,nm0611538,3
1,The Coward,1965,tt0059348,Madhabi Mukherjee,Karuna Gupta,nm0611538,3
50,The Middleman,1975,tt0074710,Madhu Saha,,nm5587013,1
11,Abhijaan,1962,tt0055724,Mahin Basu,,nm5570216,1
11,Ghare-Baire,1984,tt0087328,Malati Bol,,nm5591352,1
14,The Adversary,1970,tt0066237,Mamata Chatterjee,Sanyal's wife,nm0154137,1
6,Branches of the Tree,1990,tt0100587,Mamata Shankar,Tapati,nm0788164,3
4,An Enemy of the People,1989,tt0097409,Mamata Shankar,Indrani Gupta,nm0788164,3
2,The Stranger,1991,tt0101279,Mamata Shankar,Anila Bose,nm0788164,3
41,Heerak Rajar Deshe,1980,tt0080856,Manas Mukherjee,,nm5588802,1
19,Company Limited,1971,tt0067729,Mani Iyer,,nm5586710,1
55,The Middleman,1975,tt0074710,Mani Srimani,,nm0820248,5
33,The Adventures of Goopy and Bagha,1969,tt0063023,Mani Srimani,Visitor to Halla,nm0820248,5
26,Aparajito,1956,tt0048956,Mani Srimani,Inspector,nm0820248,5
23,The Holy Man,1965,tt0059417,Mani Srimani,,nm0820248,5
19,Paras-Pathar,1958,tt0052046,Mani Srimani,Dr. Nandi,nm0820248,5
9,The Big City,1963,tt0057277,Manisha Chakraborty,,nm5566660,1
25,Company Limited,1971,tt0067729,Manju Puri,,nm5586661,1
15,The Golden Fortress,1974,tt0072190,Manjula Kar,,nm4814690,1
6,An Enemy of the People,1989,tt0097409,Manoj Mitra,,nm0593953,2
5,Ghare-Baire,1984,tt0087328,Manoj Mitra,Headmaster,nm0593953,2
15,Distant Thunder,1973,tt0069737,Manojit Lahiri,,nm5585055,1
33,An Enemy of the People,1989,tt0097409,Masur Sengupta,,nm5591470,1
23,Nayak: The Hero,1966,tt0060742,Md. Mansoor,,nm5564497,1
9,Aparajito,1956,tt0048956,Meenakshi Devi,Pandey's wife,nm0222461,1
20,Teen Kanya,1961,tt0055508,Mihir Chakravarti,Rakhal,nm0149843,2
8,The Adversary,1970,tt0066237,Mihir Chakravarti,,nm0149843,2
35,The Adversary,1970,tt0066237,Mihir Pal,,nm3605715,1
16,Company Limited,1971,tt0067729,Minakshi Ganguly,,nm5586666,1
47,The Adversary,1970,tt0066237,Miss Shefali,Lotika,nm0790750,2
29,Company Limited,1971,tt0067729,Miss Shefali,Cabaret Dancer,nm0790750,2
11,The Goddess,1960,tt0053765,Mohammed Israil,Nibaran,nm0411505,1
2,Deliverance,1981,tt0083018,Mohan Agashe,The Brahmin,nm0012881,1
17,Joi Baba Felunath: The Elephant God,1979,tt0077775,Moloy Roy,'Bishwashree' Gunamoy Bagchi,nm4427660,1
25,An Enemy of the People,1989,tt0097409,Monu Mukherjee,,nm0611540,3
18,Distant Thunder,1973,tt0069737,Monu Mukherjee,,nm0611540,3
15,Joi Baba Felunath: The Elephant God,1979,tt0077775,Monu Mukherjee,Machli Baba,nm0611540,3
27,The Adversary,1970,tt0066237,Mulesh Jain,,nm5582528,1
5,Kanchenjungha,1962,tt0056134,N. Viswanathan,Bannerjee,nm0899801,1
27,The Golden Fortress,1974,tt0072190,N.L. Tak,,nm4814641,1
12,The Goddess,1960,tt0053765,Nagendranath Kabyabyakarantirtha,Priest,nm0434127,1
18,Ghare-Baire,1984,tt0087328,Nandita Ghosh,,nm5591389,1
20,The Holy Man,1965,tt0059417,Nani Sardar,,nm4820271,1
19,Abhijaan,1962,tt0055724,Narayan Das,,nm5024440,1
17,Ghare-Baire,1984,tt0087328,Narayan Dutta,,nm5591526,1
7,Teen Kanya,1961,tt0055508,Narayan Ghosh,,nm5574054,1
10,Deliverance,1981,tt0083018,Narendra Thakak,,nm0856877,1
14,The Golden Fortress,1974,tt0072190,Nemai Ghosh,Photographer,nm2561602,1
11,Pather Panchali,1955,tt0048473,Nibhanani Devi,Dasi Thakurun,nm0222467,1
42,The Adversary,1970,tt0066237,Nihar Roy,,nm5582225,1
11,Kanchenjungha,1962,tt0056134,Nilima Roy Chowdhuri,,nm1413235,1
10,Charulata,1964,tt0057935,Nilotpal Dey,Joydeb,nm0223353,2
7,The Zoo,1967,tt0061474,Nilotpal Dey,Inspector,nm0223353,2
17,The Holy Man,1965,tt0059417,Nirmal Ghosh,,nm0315907,2
4,Nayak: The Hero,1966,tt0060742,Nirmal Ghosh,Jyoti,nm0315907,2
13,Paras-Pathar,1958,tt0052046,Nitish Mukherjee,Guest at Cocktail Party,nm0611541,1
27,Heerak Rajar Deshe,1980,tt0080856,Noni Ganguly,,nm0304363,3
20,Abhijaan,1962,tt0055724,Noni Ganguly,,nm0304363,3
11,Distant Thunder,1973,tt0069737,Noni Ganguly,'Scarface' Jadu,nm0304363,3
13,The Adventures of Goopy and Bagha,1969,tt0063023,Nripati Chatterjee,,nm0154142,3
2,Teen Kanya,1961,tt0055508,Nripati Chatterjee,Bishey,nm0154142,3
2,The Zoo,1967,tt0061474,Nripati Chatterjee,Mushkil Mia,nm0154142,3
0,Deliverance,1981,tt0083018,Om Puri,Dukhi,nm0700875,1
19,The Holy Man,1965,tt0059417,P. Pal,,nm4820266,1
42,The Middleman,1975,tt0074710,P.C. Mukherjee,,nm5586945,1
51,The Middleman,1975,tt0074710,P.L. Sanganaria,,nm5587111,1
45,The Middleman,1975,tt0074710,Padmadevi,Mrs. Biswas,nm0222471,3
15,Paras-Pathar,1958,tt0052046,Padmadevi,Guest at Cocktail Party,nm0222471,3
9,The Music Room,1958,tt0051792,Padmadevi,"Mahamaya, Roy's wife",nm0222471,3
17,Paras-Pathar,1958,tt0052046,Pahadi Sanyal,Guest at Cocktail Party,nm0764406,3
7,Days and Nights in the Forest,1970,tt0065417,Pahadi Sanyal,Sadashiv Tripathi,nm0764406,3
2,Kanchenjungha,1962,tt0056134,Pahadi Sanyal,Jagadish,nm0764406,3
6,The World of Apu,1959,tt0052572,Panchanan Bhattacharya,,nm1434574,2
5,Aparajito,1956,tt0048956,Panchanan Bhattacharya,,nm1434574,2
20,Joi Baba Felunath: The Elephant God,1979,tt0077775,Pannalal Yadav,,nm4814570,1
24,Company Limited,1971,tt0067729,Parameshwar Pandey,,nm5586659,1
37,The Adversary,1970,tt0066237,Parameshwar Raut,,nm5582819,1
1,Joi Baba Felunath: The Elephant God,1979,tt0077775,Parinita Banerjee,,nm4814615,1
4,Distant Thunder,1973,tt0069737,Paritosh Banerjee,,nm5584974,1
2,Company Limited,1971,tt0067729,Paromita Chowdhury,Dolan,nm0159541,1
36,The Middleman,1975,tt0074710,Patrick Jackson,,nm5587419,1
32,Company Limited,1971,tt0067729,Peter Wales,,nm5586690,1
20,An Enemy of the People,1989,tt0097409,Pinaki Ghosh,,nm5591295,1
24,Aparajito,1956,tt0048956,Pinaki Sengupta,Apu,nm0348483,2
11,The Music Room,1958,tt0051792,Pinaki Sengupta,"Khoka, Roy's Son",nm0348483,2
