,source_target,source,sourceID,target,targetID,movies,moviesID,connections_y,
163,Aparna Sen Sharmila Tagore,Aparna Sen,nm0031967,Sharmila Tagore,nm0846616,Days and Nights in the Forest,Days and Nights in the Forest,1,FALSE
164,Aparna Sen Soven Lahiri,Aparna Sen,nm0031967,Soven Lahiri,nm0481574,The Middleman,The Middleman,1,FALSE
165,Aparna Sen Soven Lahiri,Aparna Sen,nm0031967,Soven Lahiri,nm0481574,Pikoor Diary,Pikoor Diary,1,FALSE
166,Aparna Sen Subhendu Chatterjee,Aparna Sen,nm0031967,Subhendu Chatterjee,nm0154166,Days and Nights in the Forest,Days and Nights in the Forest,1,FALSE
167,Aparna Sen Utpal Dutt,Aparna Sen,nm0031967,Utpal Dutt,nm0244884,The Middleman,The Middleman,1,FALSE
168,Aparna Sen Uttamram Nagar,Aparna Sen,nm0031967,Uttamram Nagar,nm1840054,The Middleman,The Middleman,1,FALSE
169,Aparna Sen Victor Banerjee,Aparna Sen,nm0031967,Victor Banerjee,nm0051856,Pikoor Diary,Pikoor Diary,1,FALSE
170,Ashok Mitra Abani Mukherjee,Ashok Mitra,nm1371495,Abani Mukherjee,nm0611505,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
171,Ashok Mitra Ajoy Banerjee,Ashok Mitra,nm1371495,Ajoy Banerjee,nm0051831,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
172,Ashok Mitra Anil Chatterjee,Ashok Mitra,nm1371495,Anil Chatterjee,nm0154110,The Big City,The Big City,1,FALSE
177,Ashok Mitra Bireswar Sen,Ashok Mitra,nm1371495,Bireswar Sen,nm0784001,Nayak: The Hero,Nayak: The Hero,1,FALSE
178,Ashok Mitra Dhritiman Chatterjee,Ashok Mitra,nm1371495,Dhritiman Chatterjee,nm0154122,The Adversary,The Adversary,1,FALSE
179,Ashok Mitra Dibyendu Chatterjee,Ashok Mitra,nm1371495,Dibyendu Chatterjee,nm4814634,The Adversary,The Adversary,1,FALSE
180,Ashok Mitra Gitali Roy,Ashok Mitra,nm1371495,Gitali Roy,nm0747030,The Big City,The Big City,1,FALSE
181,Ashok Mitra Gitali Roy,Ashok Mitra,nm1371495,Gitali Roy,nm0747030,The Zoo,The Zoo,1,FALSE
